"id","identity_id","stage","file","sex","age_group","age","class","body","direction","hair_color","skin_tone","features","clothing","marital_status","source_file","source_sha256","reference_files","prompt","sha256"
"P11","P11","pool","portraits/P11.png","f","old","64","artisan","thin","front","white grey","light cool ivory with rosy patches","small square skull, hollow cheeks, broad short slightly upturned nose, alert wide-set pale blue eyes, wide thin lips and deep vertical lip lines, sharply squared chin","muted sage wool kirtle, tidy cream linen veil and wimple, faded blue apron, a little folded cloth at lower bust","widow","provenance/raw/P11.png","9fd0c92573e5e23318f1cb8d1829b5c6032c5f13bc064bf457b2b340d2845468","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 64-year-old female person in southern England around 1300; almost front-facing, natural slight asymmetry, both cheeks visible. visibly lean build, angular cheek and slender neck and shoulders. Unique anatomical identity: small square skull, hollow cheeks, broad short slightly upturned nose, alert wide-set pale blue eyes, wide thin lips and deep vertical lip lines, sharply squared chin. Skin: light cool ivory with rosy patches; hair: white grey. Period clothing integrated naturally into this complete bust portrait: muted sage wool kirtle, tidy cream linen veil and wimple, faded blue apron, a little folded cloth at lower bust. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","ccd6cc5dccac45b6bbf9f70bbe5da47fc49d39e45e44327046028227662f1bbb"
"P12","P12","pool","portraits/P12.png","m","old","72","artisan","fat","left","steel grey","fair warm beige with freckles","large domed forehead, long drooping fleshy nose, deep-set close eyes, broad rounded jaw and heavy neck, full grey side-whiskers joined to short beard, one prominent folded ear","well-used faded blue wool tunic, soft russet work cap, stitched leather apron, no rich trim","widower","provenance/raw/P12.png","531b5e9b6262a5c533e20c576b918cec8a1bc81ab3d6164f344c94377a9dbce9","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 72-year-old male person in southern England around 1300; authentically facing toward viewer LEFT in a three-quarter view, nose projecting toward image left. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: large domed forehead, long drooping fleshy nose, deep-set close eyes, broad rounded jaw and heavy neck, full grey side-whiskers joined to short beard, one prominent folded ear. Skin: fair warm beige with freckles; hair: steel grey. Period clothing integrated naturally into this complete bust portrait: well-used faded blue wool tunic, soft russet work cap, stitched leather apron, no rich trim. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","e3d51a565484263f3f95011eba8f692da514ec7685c4b10bed931825b6ec67db"
"P13","P13","pool","portraits/P13.png","m","young","29","merchant","fat","right","dark chestnut","fair cool rose-beige","tall broad oval skull, unusually small sharply upturned nose, wide-set round hazel eyes, thick lower lip, small recessed chin submerged in soft jaw and neck, smooth cheeks without beard","good muted plum-brown wool cote, restrained fur lining at opening, low soft dark blue wool cap, small leather purse clasp at lower bust","married","provenance/raw/P13.png","e72630abbe4431393ed71ca7cd3f2f5c7a49f3d501b0f976dc68294cfa1517c2","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 29-year-old male person in southern England around 1300; authentically facing toward viewer RIGHT in a three-quarter view, nose projecting toward image right. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: tall broad oval skull, unusually small sharply upturned nose, wide-set round hazel eyes, thick lower lip, small recessed chin submerged in soft jaw and neck, smooth cheeks without beard. Skin: fair cool rose-beige; hair: dark chestnut. Period clothing integrated naturally into this complete bust portrait: good muted plum-brown wool cote, restrained fur lining at opening, low soft dark blue wool cap, small leather purse clasp at lower bust. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","ea06565c12a7d8110a8f3815b9d8c23e3cffac63cc7b0130fbc0e016746ae801"
"P14","P14","pool","portraits/P14.png","f","young","25","merchant","average","left","copper red","fair creamy skin with concentrated nose freckles","broad heart-shaped skull, wide flat cheekbones and a very narrow cleft chin, long straight nose ending in a pronounced round tip, large tilted green eyes, thin arched brows, distinct high ears, tiny mole below her own left eye","fine muted madder-red wool kirtle with modest fitted sleeves, cream linen veil held with a narrow simple band, small folded account parchment at lower edge","married","provenance/raw/P14.png","a5dae5fc8bd2d7f5448543f5079949121fd7b4df00fd281cd7d677f78a0c1701","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 25-year-old female person in southern England around 1300; authentically facing toward viewer LEFT in a three-quarter view, nose projecting toward image left. ordinary medium build with natural cheek volume, medium neck and shoulders. Unique anatomical identity: broad heart-shaped skull, wide flat cheekbones and a very narrow cleft chin, long straight nose ending in a pronounced round tip, large tilted green eyes, thin arched brows, distinct high ears, tiny mole below her own left eye. Skin: fair creamy skin with concentrated nose freckles; hair: copper red. Period clothing integrated naturally into this complete bust portrait: fine muted madder-red wool kirtle with modest fitted sleeves, cream linen veil held with a narrow simple band, small folded account parchment at lower edge. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","837bc37f4bfa5fb5ba7c6af22708458bc031afff5a5070acadd3d51b5675817f"
"P15","P15","pool","portraits/P15.png","m","mature","46","merchant","thin","front","bald crown; dark brown sides with grey","light golden beige","bald crown with short dark side hair, broad triangular forehead, very narrow long lower jaw, massive convex aquiline nose, small widely-spaced deeply hooded brown eyes, protruding asymmetric ears, thin upper lip and full lower lip, clean-shaven cheek with small narrow chin beard","fine slate-blue wool cote and sober grey-brown mantle, small document roll at chest, bare head with rough thinning hair","married","provenance/raw/P15.png","95dc0ff99e829d090b89646269ff6d801934d10244924021cd5babf51ad4c919","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. A46yearold male merchant, verythin slenderneck bonyshoulders. bald crown with short dark side hair, broad triangular forehead, very narrow long lower jaw, massive convex aquiline nose, small widely-spaced deeply hooded brown eyes, protruding asymmetric ears, thin upper lip and full lower lip, clean-shaven cheek with small narrow chin beard. Lightgoldenbeige skin. STRICTFRONTVIEW face towardcamera nosecentered, equalearvisibility, noheadturn. Fineslateblue woolcote grey-brownmantle, documentrollatchest. Not stewardreference face, not thickblackeyebrows, no bushyhair, nothandsomemodel. STRICT front view, facing directly toward camera with both ears equallyvisible, nose centered.","ef404dc44688fc40d2cb69a68988df72a8aec6dc6242dda1f9606911cb3d5429"
"P16","P16","pool","portraits/P16.png","f","mature","41","merchant","fat","left","dark brown","light pink ivory with mild cheek redness","nearly circular skull, broad bridged squared nose, deep-set small blue eyes under low straight brows, full upper and lower lips, broad soft chin and visible double chin, compact low-set ears","good muted moss-green wool kirtle and restrained fur-edged overgarment, cream linen wimple and veil, modest bronze fastening","married","provenance/raw/P16.png","3ff41b12f1afc8d85e4e53f050e83093c7c815400e43fc6df449c316aa0d6618","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 41-year-old female person in southern England around 1300; authentically facing toward viewer LEFT in a three-quarter view, nose projecting toward image left. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: nearly circular skull, broad bridged squared nose, deep-set small blue eyes under low straight brows, full upper and lower lips, broad soft chin and visible double chin, compact low-set ears. Skin: light pink ivory with mild cheek redness; hair: dark brown. Period clothing integrated naturally into this complete bust portrait: good muted moss-green wool kirtle and restrained fur-edged overgarment, cream linen wimple and veil, modest bronze fastening. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","53d4f4b6adad69856c86e1e2b058466d0f24a027f16bb626f4a434d7e4e24075"
"P17","P17","pool","portraits/P17.png","m","old","67","merchant","average","front","white grey","light ivory with subtle olive undertone","very tall narrow forehead, long rectangular jaw, large bulb-tipped crooked nose, wide-set pale grey eyes, thin upper lip and fuller lower lip, prominent narrow ears, clean shaven with age creases","deep subdued madder-brown good wool cote, plain soft grey-blue cap, neat parchment ledger edge at lower bust","widower","provenance/raw/P17.png","c67cf372592f6c4e284ed762e3edbd40796260f46f14b2e396139ee79b7942d5","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 67-year-old male person in southern England around 1300; almost front-facing, natural slight asymmetry, both cheeks visible. ordinary medium build with natural cheek volume, medium neck and shoulders. Unique anatomical identity: very tall narrow forehead, long rectangular jaw, large bulb-tipped crooked nose, wide-set pale grey eyes, thin upper lip and fuller lower lip, prominent narrow ears, clean shaven with age creases. Skin: light ivory with subtle olive undertone; hair: white grey. Period clothing integrated naturally into this complete bust portrait: deep subdued madder-brown good wool cote, plain soft grey-blue cap, neat parchment ledger edge at lower bust. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","f675f9bbd573fac2972458f9fe591ff3767f7ae12bb91364845c6f4afa022e04"
"P18","P18","pool","portraits/P18.png","f","old","76","merchant","thin","right","silver white","fair translucent cool beige","broad temple width tapering to delicate narrow lower face, short concave nose with strong upturned tip, prominent brown eyes and delicate curved brows, small pursed mouth, pointed chin, pronounced cheek hollows","good but worn muted woad-blue wool kirtle, conservative warm-cream wimple and veil, no obligatory black clothing","widow","provenance/raw/P18.png","2d36e8be58d056d8c1887f5bfae342834a76644a2838cb1e27313d22baa2d215","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 76-year-old female person in southern England around 1300; authentically facing toward viewer RIGHT in a three-quarter view, nose projecting toward image right. visibly lean build, angular cheek and slender neck and shoulders. Unique anatomical identity: broad temple width tapering to delicate narrow lower face, short concave nose with strong upturned tip, prominent brown eyes and delicate curved brows, small pursed mouth, pointed chin, pronounced cheek hollows. Skin: fair translucent cool beige; hair: silver white. Period clothing integrated naturally into this complete bust portrait: good but worn muted woad-blue wool kirtle, conservative warm-cream wimple and veil, no obligatory black clothing. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","255d7d43e062a9e7af277714b6e51f2e3668e3e77062b267eac9d113fc0a271f"
"P19","P19","pool","portraits/P19.png","m","child","13","gentry","fat","left","light golden brown","fair pale pink","broad child forehead and very round full cheek silhouette, large grey-blue eyes, narrow short straight nose, small pursed upper lip, soft cleft chin, large low rounded ears, youthful short neck","good muted brick-red wool cote, simple deep grey-blue mantle with tiny bronze clasp, natural short uneven hair, no crown or armor","child","provenance/raw/P19.png","ee44474d577edad8703a1d71bb0822fc9c33a30421b3eb2711f170f822d13eb7","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 13-year-old male person in southern England around 1300; authentically facing toward viewer LEFT in a three-quarter view, nose projecting toward image left. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: broad child forehead and very round full cheek silhouette, large grey-blue eyes, narrow short straight nose, small pursed upper lip, soft cleft chin, large low rounded ears, youthful short neck. Skin: fair pale pink; hair: light golden brown. Period clothing integrated naturally into this complete bust portrait: good muted brick-red wool cote, simple deep grey-blue mantle with tiny bronze clasp, natural short uneven hair, no crown or armor. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","c063505226cb291b77c55f89a9963daac10dd28a81c5e7a6367c706dbfe6738e"
"P20","P20","pool","portraits/P20.png","f","young","28","gentry","thin","front","dark ash brown","light tawny beige","long severe rectangular face, exceptionally broad straight nasal bridge and narrow nose tip, wide-set half-lidded hazel eyes, thick nearly horizontal eyebrows, strongly projecting square chin, small full mouth","fine subdued grey-green wool kirtle and plain surcoat, cream linen veil draped over hair and shoulders, narrow simple bronze brooch","married","provenance/raw/P20.png","c2025eaadc5c08936454388dbe0289daa21d03bd75db7d5ec3999d90dfd0f774","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 28-year-old female person in southern England around 1300; almost front-facing, natural slight asymmetry, both cheeks visible. visibly lean build, angular cheek and slender neck and shoulders. Unique anatomical identity: long severe rectangular face, exceptionally broad straight nasal bridge and narrow nose tip, wide-set half-lidded hazel eyes, thick nearly horizontal eyebrows, strongly projecting square chin, small full mouth. Skin: light tawny beige; hair: dark ash brown. Period clothing integrated naturally into this complete bust portrait: fine subdued grey-green wool kirtle and plain surcoat, cream linen veil draped over hair and shoulders, narrow simple bronze brooch. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","113d19e7b7ee5982f62aa341cf50ea4963efc379d4709005e21cf4b7af4266cb"
"P21","P21","pool","portraits/P21.png","m","mature","37","gentry","average","right","auburn","fair warm ivory with red freckles","compact trapezoid skull, heavy broad jaw wider than temples, short broken-looking nose angled toward his own right, widely spaced small green eyes, large firm lips, thick ears, close natural auburn beard","well-cut muted navy-grey wool cote and rust-brown mantle, small wax-sealed document held at lower edge, no military armor","married","provenance/raw/P21.png","13d01e8a69a5e890ca2a02f348bf7c0251e39514007a1b3058ab98d1243e353b","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 37-year-old male person in southern England around 1300; authentically facing toward viewer RIGHT in a three-quarter view, nose projecting toward image right. ordinary medium build with natural cheek volume, medium neck and shoulders. Unique anatomical identity: compact trapezoid skull, heavy broad jaw wider than temples, short broken-looking nose angled toward his own right, widely spaced small green eyes, large firm lips, thick ears, close natural auburn beard. Skin: fair warm ivory with red freckles; hair: auburn. Period clothing integrated naturally into this complete bust portrait: well-cut muted navy-grey wool cote and rust-brown mantle, small wax-sealed document held at lower edge, no military armor. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","11ce6af48f477bb8a1011eb5a64c4036567df4e723a85f6eacf2870b33f039d7"
"P22","P22","pool","portraits/P22.png","f","mature","49","gentry","fat","front","black brown","light cool ivory with plum-rose undertone","tall egg-shaped head with high smooth forehead, long narrow aquiline nose, very close-set dark eyes, delicate high brows, thin upper lip over prominent full lower lip, rounded jaw and thick shoulder line","fine subdued dusty-ochre wool kirtle with quiet brown surcoat, cream linen veil and wimple, modest clasp without jewel display","married","provenance/raw/P22.png","44390742135659ea5655646b8af4189e9ff7b18315a9f3dcec18d87be6f8b3ab","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 49-year-old female person in southern England around 1300; almost front-facing, natural slight asymmetry, both cheeks visible. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: tall egg-shaped head with high smooth forehead, long narrow aquiline nose, very close-set dark eyes, delicate high brows, thin upper lip over prominent full lower lip, rounded jaw and thick shoulder line. Skin: light cool ivory with plum-rose undertone; hair: black brown. Period clothing integrated naturally into this complete bust portrait: fine subdued dusty-ochre wool kirtle with quiet brown surcoat, cream linen veil and wimple, modest clasp without jewel display. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","3b7c29fc2dbd1ed31c7b29532b9dec1f4a5402fe556addbc1537146bc0b40d1f"
