id,role,same_identity_256_96,expected_prop,observed_prop,prop_group_match,expected_class,predicted_class,class_correct,confidence,notes
I076_mature,청원하는 모직 상인 대표,PASS_WITH_LIMITATIONS,book_scroll,closed brown book,True,merchant,merchant,True,0.77,Merchant versus lesser gentry is uncertain from dress alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I076_old,청원하는 모직 상인 대표,PASS_WITH_LIMITATIONS,book_scroll,closed brown book,True,merchant,merchant,True,0.77,Merchant versus lesser gentry is uncertain from dress alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I077_young,청원하는 과부 상인 대표,PASS_WITH_LIMITATIONS,coin_purse,small ochre drawstring purse,True,merchant,merchant,True,0.79,Prosperous dress also overlaps lesser gentry. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I077_mature,청원하는 과부 상인 대표,PASS_WITH_LIMITATIONS,coin_purse,small ochre drawstring purse,True,merchant,merchant,True,0.79,Prosperous dress also overlaps lesser gentry. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I077_old,청원하는 과부 상인 대표,PASS_WITH_LIMITATIONS,coin_purse,small ochre drawstring purse,True,merchant,merchant,True,0.79,Prosperous dress also overlaps lesser gentry. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I078_young,외지 양모 구매상·롬바르디아 상인,PASS_WITH_LIMITATIONS,wool_sample,tuft or sample of raw pale wool,True,merchant,merchant,True,0.74,Merchant versus lesser gentry ambiguous; carried wool ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I078_mature,외지 양모 구매상·롬바르디아 상인,PASS_WITH_LIMITATIONS,wool_sample,tuft or sample of raw pale wool,True,merchant,merchant,True,0.74,Merchant versus lesser gentry ambiguous; carried wool ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I078_old,외지 양모 구매상·롬바르디아 상인,PASS_WITH_LIMITATIONS,wool_sample,tuft or sample of raw pale wool,True,merchant,merchant,True,0.74,Merchant versus lesser gentry ambiguous; carried wool ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I079_young,수레꾼,PASS_WITH_LIMITATIONS,none,none,True,labour,poor_servant,False,0.94,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I079_mature,수레꾼,PASS_WITH_LIMITATIONS,none,none,True,labour,poor_servant,False,0.94,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I079_old,수레꾼,PASS_WITH_LIMITATIONS,none,none,True,labour,poor_servant,False,0.94,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I080_young,목동,PASS_WITH_LIMITATIONS,shepherd_crook,crooked wooden staff,True,labour,poor_servant,False,0.91,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I080_mature,목동,PASS_WITH_LIMITATIONS,shepherd_crook,crooked wooden staff,True,labour,poor_servant,False,0.91,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I080_old,목동,PASS_WITH_LIMITATIONS,shepherd_crook,crooked wooden staff,True,labour,poor_servant,False,0.91,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I081_young,어부,PASS_WITH_LIMITATIONS,net_float,round coil or ball of coarse cord with hanging loose end,True,labour,artisan,False,0.76,Cord object readable as a rough bundle at 96px; exact craft uncertain. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I081_mature,어부,PASS_WITH_LIMITATIONS,net_float,round coil or ball of coarse cord with hanging loose end,True,labour,artisan,False,0.76,Cord object readable as a rough bundle at 96px; exact craft uncertain. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I081_old,어부,PASS_WITH_LIMITATIONS,net_float,round coil or ball of coarse cord with hanging loose end,True,labour,artisan,False,0.76,Cord object readable as a rough bundle at 96px; exact craft uncertain. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I082_young,무두장이,PASS_WITH_LIMITATIONS,none,none,True,artisan,artisan,True,0.96,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I082_mature,무두장이,PASS_WITH_LIMITATIONS,none,none,True,artisan,artisan,True,0.96,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I082_old,무두장이,PASS_WITH_LIMITATIONS,none,none,True,artisan,artisan,True,0.96,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I083_young,제화공,PASS_WITH_LIMITATIONS,shoe_last,small brown shoe or shoemaker last,True,artisan,artisan,True,0.95,Small held object could be shoe or wooden last; no book visible. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I083_mature,제화공,PASS_WITH_LIMITATIONS,shoe_last,small brown shoe or shoemaker last,True,artisan,artisan,True,0.95,Small held object could be shoe or wooden last; no book visible. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I083_old,제화공,PASS_WITH_LIMITATIONS,shoe_last,small brown shoe or shoemaker last,True,artisan,artisan,True,0.95,Small held object could be shoe or wooden last; no book visible. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I084_young,방적하는 여인,PASS_WITH_LIMITATIONS,spindle,drop spindle with pale wound fiber and thread,True,labour,labour,True,0.61,Labour versus artisan cannot be securely separated from dress; prop ignored. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I084_mature,방적하는 여인,PASS_WITH_LIMITATIONS,spindle,drop spindle with pale wound fiber and thread,True,labour,labour,True,0.61,Labour versus artisan cannot be securely separated from dress; prop ignored. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I084_old,방적하는 여인,PASS_WITH_LIMITATIONS,spindle,drop spindle with pale wound fiber and thread,True,labour,labour,True,0.61,Labour versus artisan cannot be securely separated from dress; prop ignored. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I085_young,직조공 여인,PASS_WITH_LIMITATIONS,none,none,True,artisan,artisan,True,0.64,Artisan versus labour is ambiguous from apron alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I085_mature,직조공 여인,PASS_WITH_LIMITATIONS,none,none,True,artisan,artisan,True,0.64,Artisan versus labour is ambiguous from apron alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I085_old,직조공 여인,PASS_WITH_LIMITATIONS,none,none,True,artisan,artisan,True,0.64,Artisan versus labour is ambiguous from apron alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I086_young,세탁부,PASS_WITH_LIMITATIONS,washing_cloth,folded pale blue cloth draped over arm,True,labour,poor_servant,False,0.84,"Loose blue cloth treated as carried textile, not part of sleeve. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I086_mature,세탁부,PASS_WITH_LIMITATIONS,washing_cloth,folded pale blue cloth draped over arm,True,labour,poor_servant,False,0.84,"Loose blue cloth treated as carried textile, not part of sleeve. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I086_old,세탁부,PASS_WITH_LIMITATIONS,washing_cloth,folded pale blue cloth draped over arm,True,labour,poor_servant,False,0.84,"Loose blue cloth treated as carried textile, not part of sleeve. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I087_young,유모,PASS_WITH_LIMITATIONS,none,none,True,labour,labour,True,0.62,Labour versus poor servant is ambiguous; no conspicuous luxury or severe rags. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I087_mature,유모,PASS_WITH_LIMITATIONS,none,none,True,labour,labour,True,0.62,Labour versus poor servant is ambiguous; no conspicuous luxury or severe rags. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I087_old,유모,PASS_WITH_LIMITATIONS,none,none,True,labour,labour,True,0.62,Labour versus poor servant is ambiguous; no conspicuous luxury or severe rags. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I088_young,부유한 과부 토지 보유자,PASS_WITH_LIMITATIONS,gloves,pair of tan gloves,True,gentry,gentry,True,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I088_mature,부유한 과부 토지 보유자,PASS_WITH_LIMITATIONS,gloves,pair of tan gloves,True,gentry,gentry,True,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I088_old,부유한 과부 토지 보유자,PASS_WITH_LIMITATIONS,gloves,pair of tan gloves,True,gentry,gentry,True,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I089_young,가난한 과부 토지 보유자,PASS_WITH_LIMITATIONS,none,none,True,poor_servant,poor_servant,True,0.93,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I089_mature,가난한 과부 토지 보유자,PASS_WITH_LIMITATIONS,none,none,True,poor_servant,poor_servant,True,0.93,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I089_old,가난한 과부 토지 보유자,PASS_WITH_LIMITATIONS,none,none,True,poor_servant,poor_servant,True,0.93,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I090_young,교구 서기,PASS_WITH_LIMITATIONS,book_scroll,closed brown book held in both hands,True,clerical,clerical,True,0.72,Unadorned scholarly lay dress remains possible; book ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I090_mature,교구 서기,PASS_WITH_LIMITATIONS,book_scroll,closed brown book held in both hands,True,clerical,clerical,True,0.72,Unadorned scholarly lay dress remains possible; book ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I090_old,교구 서기,PASS_WITH_LIMITATIONS,book_scroll,closed brown book held in both hands,True,clerical,clerical,True,0.72,Unadorned scholarly lay dress remains possible; book ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I091_young,도미니코 탁발승,PASS_WITH_LIMITATIONS,rosary,dark prayer bead strand,True,clerical,clerical,True,0.99,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I091_mature,도미니코 탁발승,PASS_WITH_LIMITATIONS,rosary,dark prayer bead strand,True,clerical,clerical,True,0.99,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I091_old,도미니코 탁발승,PASS_WITH_LIMITATIONS,rosary,dark prayer bead strand,True,clerical,clerical,True,0.99,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I092_young,순례자,PASS_WITH_LIMITATIONS,pilgrim_badge,worn scallop-shell pilgrim badge on left chest,True,labour,poor_servant,False,0.93,"Scallop badge counted as prop as instructed, not as garment brooch. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I092_mature,순례자,PASS_WITH_LIMITATIONS,pilgrim_badge,worn scallop-shell pilgrim badge on left chest,True,labour,poor_servant,False,0.93,"Scallop badge counted as prop as instructed, not as garment brooch. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I092_old,순례자,PASS_WITH_LIMITATIONS,pilgrim_badge,worn scallop-shell pilgrim badge on left chest,True,labour,poor_servant,False,0.93,"Scallop badge counted as prop as instructed, not as garment brooch. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I093_young,걸인·장애 있는 퇴역 병사,PASS_WITH_LIMITATIONS,walking_cane,short visible section of wooden staff,True,poor_servant,poor_servant,True,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I093_mature,걸인·장애 있는 퇴역 병사,PASS_WITH_LIMITATIONS,walking_cane,short visible section of wooden staff,True,poor_servant,poor_servant,True,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I093_old,걸인·장애 있는 퇴역 병사,PASS_WITH_LIMITATIONS,walking_cane,short visible section of wooden staff,True,poor_servant,poor_servant,True,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I094_young,떠돌이 악사,PASS_WITH_LIMITATIONS,wooden_pipe,slender wooden flute or pipe with finger holes,True,poor_servant,poor_servant,True,0.76,Poor servant versus labour uncertain; instrument ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I094_mature,떠돌이 악사,PASS_WITH_LIMITATIONS,wooden_pipe,slender wooden flute or pipe with finger holes,True,poor_servant,poor_servant,True,0.76,Poor servant versus labour uncertain; instrument ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I094_old,떠돌이 악사,PASS_WITH_LIMITATIONS,wooden_pipe,slender wooden flute or pipe with finger holes,True,poor_servant,poor_servant,True,0.76,Poor servant versus labour uncertain; instrument ignored for class. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I095_young,젠트리 여인,PASS_WITH_LIMITATIONS,none,none,True,gentry,gentry,True,0.97,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I095_mature,젠트리 여인,PASS_WITH_LIMITATIONS,none,none,True,gentry,gentry,True,0.97,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I095_old,젠트리 여인,PASS_WITH_LIMITATIONS,none,none,True,gentry,gentry,True,0.97,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I096_young,영주 가솔 하인,PASS_WITH_LIMITATIONS,small_knife,sheathed knife at lower right waist,True,poor_servant,labour,False,0.7,Labour versus artisan overlaps; knife counted as prop. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I096_mature,영주 가솔 하인,PASS_WITH_LIMITATIONS,small_knife,sheathed knife at lower right waist,True,poor_servant,labour,False,0.7,Labour versus artisan overlaps; knife counted as prop. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I096_old,영주 가솔 하인,PASS_WITH_LIMITATIONS,small_knife,sheathed knife at lower right waist,True,poor_servant,labour,False,0.7,Labour versus artisan overlaps; knife counted as prop. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I097_child,젠트리 집안 남아,PASS_WITH_LIMITATIONS,wooden_horse,carved wooden toy horse,True,child,,NOT_SCORED_CHILD,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I097_young,젠트리 집안 남아,PASS_WITH_LIMITATIONS,wooden_horse,carved wooden toy horse,True,child,,NOT_SCORED_CHILD,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I098_child,어부 집안 남아,PASS_WITH_LIMITATIONS,smooth_pebble,smooth gray stone held in palm,True,child,,NOT_SCORED_CHILD,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I098_young,어부 집안 남아,PASS_WITH_LIMITATIONS,smooth_pebble,smooth gray stone held in palm,True,child,,NOT_SCORED_CHILD,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I099_child,상인 집안 여아,PASS_WITH_LIMITATIONS,none,none,True,child,,NOT_SCORED_CHILD,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I099_young,상인 집안 여아,PASS_WITH_LIMITATIONS,none,none,True,child,,NOT_SCORED_CHILD,0.98,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I100_child,직조공 집안 여아,PASS_WITH_LIMITATIONS,ribbon_spool,small wooden spool with long blue ribbon or fabric strip,True,child,,NOT_SCORED_CHILD,0.88,Object reads as spool/ribbon at 256px; at 96px only blue strip and hand are clear. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I100_young,직조공 집안 여아,PASS_WITH_LIMITATIONS,ribbon_spool,small wooden spool with long blue ribbon or fabric strip,True,child,,NOT_SCORED_CHILD,0.88,Object reads as spool/ribbon at 256px; at 96px only blue strip and hand are clear. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
