"id","kind","file","width","height","pivot_x","pivot_y","status","references","full_prompt","processing","sha256"
"smithy_b_active","active","assets/active/smithy_b-active-v1.png","137","137","83","128","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/smithy_b-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. EFFECT: One compact low bed of glowing amber forge COALS with tiny orange flame tongues and two upward sparks, no stone or equipment, no smoke.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","7ad6b28833663437afbbb11b9426ed1dc9c056ed64a28fbe4ed4606aa36dbcdb"
"cordwainer","base","assets/bld/cordwainer-v1.png","137","137","82","128","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET cordwainer: One ordinary L2 two-storey street shoemaker house matching supplied house EXACT wealth and human proportions. Front ground floor counter has TWO CLEAR PAIRS OF BROWN LEATHER SHOES as functional identifying detail. Above counter, large single dark oak closed shop shutter ready to hinge open. Upper limeplaster dwelling, weathered oak, flat pegtiles. NO chimney. Strong simple shoe silhouettes.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","44567853642d5ecb8ee19d9ec4e0f41897736ca8ac5d5745a9dfdd64e2d89b9f"
"cordwainer_active","active","assets/active/cordwainer-active-v1.png","137","137","82","128","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/cordwainer-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. EFFECT: A SINGLE CLOSED paired solid wooden shop SHUTTER, dark weathered oak planks with one clear diagonal brace per half, tightly shut. Front left facade SW 2:1 isometric: horizontal top/bottom edges descend toward right, vertical side edges vertical. No opening, no glass, no handles needed, no shoes/cloth/building/wall/background. Isolated shutter panel only, clean rectangular-parallelogram outline.","Generated closed shutter clipped to original shop polygon; active restores exact original open-shop pixels.","55d7e2b064ba13e2e249493bb13ed8aa3deb1b02dad635ec713e32133124c642"
"tailor","base","assets/bld/tailor-v1.png","137","137","76","128","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET tailor: One ordinary L2 two-storey street TAILOR house matching supplied house wealth/scale. Front ground floor counter has two broad folded lengths of muted dull red and dull olive CLOTH with hanging draped fabric. Above counter a large plain oak CLOSED shop shutter ready to hinge open. Simple upper limeplaster dwelling, flat pegtiles. NO chimney.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","aa9b26d7203f1c6814cfe2a26d0f97c6ab1ac1da0bad053f4dab18e3005f0146"
"tailor_active","active","assets/active/tailor-active-v1.png","137","137","76","128","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/tailor-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. EFFECT: A SINGLE CLOSED paired solid wooden shop SHUTTER, dark weathered oak planks with one clear diagonal brace per half, tightly shut. Front left facade SW 2:1 isometric: horizontal top/bottom edges descend toward right, vertical side edges vertical. No opening, no glass, no handles needed, no shoes/cloth/building/wall/background. Isolated shutter panel only, clean rectangular-parallelogram outline.","Generated closed shutter clipped to original shop polygon; active restores exact original open-shop pixels.","143ee0a67f19fff001523066d73a3f707c4e8aa0868a58d0665995a3921e38c0"
"tannery_a","base","assets/bld/tannery_a-v1.png","288","228","249","219","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET tannery_a: Small town-edge TANNERY yard intended beside a stream. Three recessed round timber vats and pits, sturdy drying rack holding TWO irregular animal HIDES (tan/brown, no blood), low thatched open work shed at back, narrow wooden water trough outlet at right. No river or landscape baked in, no ground platform; only small ground patches immediately around pit rims. Two tile square workspace. NO chimney.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","251c4094f59a11eae6df6cfd3ef10db9262ac34fcc77b90a1149c7055e2ec88c"
"tannery_a_active","active","assets/active/tannery_a-active-v1.png","288","228","249","219","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/tannery_a-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. LAYOUT: two clearly SEPARATE isolated components on one WIDE transparent canvas. LEFT HALF: A single irregular tawny animal HIDE hanging vertically from two tiny rope loops, seen SW isometric, no blood, no rack. RIGHT HALF: One restrained pale grey-white STEAM wisp, fine at bottom wider near top, semi-transparent soft edges. No container or background. Wide transparent gutter at midpoint, each part stays entirely in its half. Ingredients for one registered building active overlay.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","f72feb87a114106926dffd367e82e398e77c67f1ac5de66382593ddc865fc022"
"tannery_b","base","assets/bld/tannery_b-v1.png","288","228","172","219","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/church-v2.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET tannery_b: Small waterside town-edge TANNERY with two round sunken timber vats, one rectangular lime pit, open thatched lean-to and drying rack with TWO large irregular stretched animal hides. Slightly different rack/pit arrangement than tannery_a, same wealth and size, no river/background, NO chimney. Water trough points toward right. No blood.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","e34ed3dcb6f5874f7ac7c0ca0cb34c9fa68281243e98c967afe48583d07c90e5"
"tannery_b_active","active","assets/active/tannery_b-active-v1.png","288","228","172","219","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/tannery_b-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. LAYOUT: two clearly SEPARATE isolated components on one WIDE transparent canvas. LEFT HALF: A single irregular dark tan animal HIDE hanging vertically from two tiny rope loops, seen SW isometric, no blood, no rack. RIGHT HALF: One restrained pale grey-white STEAM wisp, fine at bottom wider near top, semi-transparent soft edges. No container or background. Wide transparent gutter at midpoint, each part stays entirely in its half. Ingredients for one registered building active overlay.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","8d67810005e8d3e646f05ac858a60dcdadd34867fa02dcc6c0a072175b86486e"
"lime_kiln","base","assets/bld/lime_kiln-v1.png","288","264","133","255","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/church-v2.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET lime_kiln: LIME KILN: large squat circular grey-brown rubble-stone draw kiln set freestanding, battered thick stone walls, broad open top shaft, small arched firing draw hole low at front, modest integral STONE FURNACE FLUE at rear. Functional industrial kiln, not tower/house/castle. Cold idle state, no smoke. Two tile square, no landscape platform.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","423509fe49d224d68ed75a02c783226efeaa61d36bb02b0fd8a49b6c7faaffe3"
