id,same_identity_256,same_identity_96,clothing_blind,closest_pair_note,notes
I046_young,PASS,PASS,PASS,,유난히긴 코와 큰귀·매우마른 두개골 유지. coif→veilwimple→widowveil 전환 명확.
I046_mature,PASS,PASS,PASS,,유난히긴 코와 큰귀·매우마른 두개골 유지. coif→veilwimple→widowveil 전환 명확.
I046_old,PASS,PASS,PASS,,유난히긴 코와 큰귀·매우마른 두개골 유지. coif→veilwimple→widowveil 전환 명확.
I047_young,PASS,PASS,PASS,,좁은 코·작은 입·턱 유지. barbette/net→hood→whiteveil이 분명하다. 노년 미소가 약하게 읽힌다.
I047_mature,PASS,PASS,PASS,,좁은 코·작은 입·턱 유지. barbette/net→hood→whiteveil이 분명하다. 노년 미소가 약하게 읽힌다.
I047_old,PASS,PASS,PASS,,좁은 코·작은 입·턱 유지. barbette/net→hood→whiteveil이 분명하다. 노년 미소가 약하게 읽힌다.
I048_young,PASS,PASS,PASS,,넓은 얼굴·입술·턱살 유지. 머리→흰베일→암색과부베일 구분. 장년 변화는96px에서 미묘하다.
I048_mature,PASS,PASS,PASS,,넓은 얼굴·입술·턱살 유지. 머리→흰베일→암색과부베일 구분. 장년 변화는96px에서 미묘하다.
I048_old,PASS,PASS,PASS,,넓은 얼굴·입술·턱살 유지. 머리→흰베일→암색과부베일 구분. 장년 변화는96px에서 미묘하다.
I049_young,PASS,PASS,PASS,,넓은 코·각진 턱·짧은 수염 유지. 노년 머리숱 감소·관자놀이·눈가·목이 함께 늙는다.
I049_mature,PASS,PASS,PASS,,넓은 코·각진 턱·짧은 수염 유지. 노년 머리숱 감소·관자놀이·눈가·목이 함께 늙는다.
I049_old,PASS,PASS,PASS,,넓은 코·각진 턱·짧은 수염 유지. 노년 머리숱 감소·관자놀이·눈가·목이 함께 늙는다.
I050_young,PASS,PASS,PASS,,둥근 얼굴과 처진 턱선 유지. 후드 단계와 맨머리 단계 구분. 노년 회색머리·볼처짐 자연스럽다.
I050_mature,PASS,PASS,PASS,,둥근 얼굴과 처진 턱선 유지. 후드 단계와 맨머리 단계 구분. 노년 회색머리·볼처짐 자연스럽다.
I050_old,PASS,PASS,PASS,,둥근 얼굴과 처진 턱선 유지. 후드 단계와 맨머리 단계 구분. 노년 회색머리·볼처짐 자연스럽다.
I051_young,PASS,PASS,PASS,,긴 각진턱·콧수염·불균형한눈썹 유지. 노년 회색머리와 볼·목 변화가 분명.
I051_mature,PASS,PASS,PASS,,긴 각진턱·콧수염·불균형한눈썹 유지. 노년 회색머리와 볼·목 변화가 분명.
I051_old,PASS,PASS,PASS,,긴 각진턱·콧수염·불균형한눈썹 유지. 노년 회색머리와 볼·목 변화가 분명.
I052_young,PASS,PASS,PASS,,볼살·코끝·턱을 유지. coif→색머리수건→hood 차이가 뚜렷하다.
I052_mature,PASS,PASS,PASS,,볼살·코끝·턱을 유지. coif→색머리수건→hood 차이가 뚜렷하다.
I052_old,PASS,PASS,PASS,,볼살·코끝·턱을 유지. coif→색머리수건→hood 차이가 뚜렷하다.
I053_young,PASS,PASS,PASS,,올라간 눈·긴 코·턱 끝 유지. 밀짚모자→coif→과부베일 변경이 자연스럽고 노년 골격이 보존된다.
I053_mature,PASS,PASS,PASS,,올라간 눈·긴 코·턱 끝 유지. 밀짚모자→coif→과부베일 변경이 자연스럽고 노년 골격이 보존된다.
I053_old,PASS,PASS,PASS,,올라간 눈·긴 코·턱 끝 유지. 밀짚모자→coif→과부베일 변경이 자연스럽고 노년 골격이 보존된다.
I054_young,PASS,PASS,PASS,,길고 마른 얼굴·코·귀 유지. 맨머리→hood→회색맨머리로 진행하며 노년은 깊은 주름과 목으로도 읽힌다.
I054_mature,PASS,PASS,PASS,,길고 마른 얼굴·코·귀 유지. 맨머리→hood→회색맨머리로 진행하며 노년은 깊은 주름과 목으로도 읽힌다.
I054_old,PASS,PASS,PASS,,길고 마른 얼굴·코·귀 유지. 맨머리→hood→회색맨머리로 진행하며 노년은 깊은 주름과 목으로도 읽힌다.
I055_young,PASS,PASS,PASS,,둥근 얼굴·올라간 콧수염·짧은 코 유지. 노년 목과 얼굴변화 자연스럽다.
I055_mature,PASS,PASS,PASS,,둥근 얼굴·올라간 콧수염·짧은 코 유지. 노년 목과 얼굴변화 자연스럽다.
I055_old,PASS,PASS,PASS,,둥근 얼굴·올라간 콧수염·짧은 코 유지. 노년 목과 얼굴변화 자연스럽다.
I056_young,PASS,PASS,PASS,,적갈색 단발과 나뉜수염·긴 코 유지. 노년머리와 수염 희끗해지며 볼처짐.
I056_mature,PASS,PASS,PASS,,적갈색 단발과 나뉜수염·긴 코 유지. 노년머리와 수염 희끗해지며 볼처짐.
I056_old,PASS,PASS,PASS,,적갈색 단발과 나뉜수염·긴 코 유지. 노년머리와 수염 희끗해지며 볼처짐.
I057_young,PASS,PASS,PASS,,넓은 얼굴·눈 간격·코 유지. 풀어내린 머리→밀짚모자→색머리수건. 노년의 얼굴과 목 변화 자연스럽다.
I057_mature,PASS,PASS,PASS,,넓은 얼굴·눈 간격·코 유지. 풀어내린 머리→밀짚모자→색머리수건. 노년의 얼굴과 목 변화 자연스럽다.
I057_old,PASS,PASS,PASS,,넓은 얼굴·눈 간격·코 유지. 풀어내린 머리→밀짚모자→색머리수건. 노년의 얼굴과 목 변화 자연스럽다.
I058_young,PASS,PASS,PASS,,"색머리수건→hood→밀짚모자 변경이 명확하고, 큰 코·각진 턱 골격을 유지한 채 늙는다."
I058_mature,PASS,PASS,PASS,,"색머리수건→hood→밀짚모자 변경이 명확하고, 큰 코·각진 턱 골격을 유지한 채 늙는다."
I058_old,PASS,PASS,PASS,,"색머리수건→hood→밀짚모자 변경이 명확하고, 큰 코·각진 턱 골격을 유지한 채 늙는다."
I059_young,PASS,PASS,PASS,,넓고 둥근 얼굴·작은 입 유지. 밀짚모자→황토수건→coif 세 종류 명확.
I059_mature,PASS,PASS,PASS,,넓고 둥근 얼굴·작은 입 유지. 밀짚모자→황토수건→coif 세 종류 명확.
I059_old,PASS,PASS,PASS,,넓고 둥근 얼굴·작은 입 유지. 밀짚모자→황토수건→coif 세 종류 명확.
I060_young,PASS,PASS,PASS,,둥근 머리·처진 눈·작은 입 유지. 세 단계tonsure가 보이고 현대흰로만칼라 없음. 장년의날카로움 미묘.
I060_mature,PASS,PASS,PASS,,둥근 머리·처진 눈·작은 입 유지. 세 단계tonsure가 보이고 현대흰로만칼라 없음. 장년의날카로움 미묘.
I060_old,PASS,PASS,PASS,,둥근 머리·처진 눈·작은 입 유지. 세 단계tonsure가 보이고 현대흰로만칼라 없음. 장년의날카로움 미묘.
I061_young,PASS,PASS,PASS,,긴 얼굴·큰 코·돌출한 턱 유지. tonsure 두피 일부가 세 단계 모두 보인다. 장년의 옅은미소와 노년 중립 구분.
I061_mature,PASS,PASS,PASS,,긴 얼굴·큰 코·돌출한 턱 유지. tonsure 두피 일부가 세 단계 모두 보인다. 장년의 옅은미소와 노년 중립 구분.
I061_old,PASS,PASS,PASS,,긴 얼굴·큰 코·돌출한 턱 유지. tonsure 두피 일부가 세 단계 모두 보인다. 장년의 옅은미소와 노년 중립 구분.
I062_young,PASS,PASS,PASS,,수녀veil+wimple 유지. 얼굴코·눈·입 동일. 머리가보이지않아 청년-장년 차이는96px에서 매우약하지만 노년 얼굴주름은 읽힌다.
I062_mature,PASS,PASS,PASS,,수녀veil+wimple 유지. 얼굴코·눈·입 동일. 머리가보이지않아 청년-장년 차이는96px에서 매우약하지만 노년 얼굴주름은 읽힌다.
I062_old,PASS,PASS,PASS,,수녀veil+wimple 유지. 얼굴코·눈·입 동일. 머리가보이지않아 청년-장년 차이는96px에서 매우약하지만 노년 얼굴주름은 읽힌다.
I063_young,PASS,PASS,PASS,,길고 좁은얼굴·턱·눈간격 유지. hood중간단계와 회색노년 확인.
I063_mature,PASS,PASS,PASS,,길고 좁은얼굴·턱·눈간격 유지. hood중간단계와 회색노년 확인.
I063_old,PASS,PASS,PASS,,길고 좁은얼굴·턱·눈간격 유지. hood중간단계와 회색노년 확인.
I064_young,PASS,PASS,PASS,,둥근 얼굴·입술·코끝 유지. hood→황토수건→암색과부베일이 구분되며 노년 회색머리·목 변화 자연스럽다.
I064_mature,PASS,PASS,PASS,,둥근 얼굴·입술·코끝 유지. hood→황토수건→암색과부베일이 구분되며 노년 회색머리·목 변화 자연스럽다.
I064_old,PASS,PASS,PASS,,둥근 얼굴·입술·코끝 유지. hood→황토수건→암색과부베일이 구분되며 노년 회색머리·목 변화 자연스럽다.
I065_child,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,R2에서 턱·코·목이 성숙하고 수염그늘이 생겨96px에서도 아이와 청년16–30이 구분된다. 눈·귀·코의 정체성은 보존된다. 실제머리쓰개는hood이며 최종메타데이터도hood다.
I065_young,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,R2에서 턱·코·목이 성숙하고 수염그늘이 생겨96px에서도 아이와 청년16–30이 구분된다. 눈·귀·코의 정체성은 보존된다. 실제머리쓰개는hood이며 최종메타데이터도hood다.
I066_child,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,R2에서 코와 하안면이 커지고 턱·목이 성숙하며 옅은수염이 보인다. 살찐체형과 둥근아이의 고유특징을 유지하면서 청년16–30으로읽힌다. 22라는정확한나이는 단정하지 않는다. 실제머리쓰개felt_hat으로 최종메타데이터와 일치.
I066_young,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,R2에서 코와 하안면이 커지고 턱·목이 성숙하며 옅은수염이 보인다. 살찐체형과 둥근아이의 고유특징을 유지하면서 청년16–30으로읽힌다. 22라는정확한나이는 단정하지 않는다. 실제머리쓰개felt_hat으로 최종메타데이터와 일치.
I067_child,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,"큰눈·작은 입과 코 유지하며 목과 하안면이 자라청년으로읽힌다.22보다는18–20인상, 비교적수용가능."
I067_young,PASS,PASS,NOT_SCORED_CHILD_CHAIN,P31과 얼굴 유사성 잔여 위험,"큰눈·작은 입과 코 유지하며 목과 하안면이 자라청년으로읽힌다.22보다는18–20인상, 비교적수용가능."
I068_child,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,R2에서 하안면·목이 길어지고 턱과 어깨가 성숙해96px에서도 아이→청년 성장으로읽힌다. 눈·코·입의 정체성을 유지하며 밀짚모자도명확하다.
I068_young,PASS,PASS,NOT_SCORED_CHILD_CHAIN,,R2에서 하안면·목이 길어지고 턱과 어깨가 성숙해96px에서도 아이→청년 성장으로읽힌다. 눈·코·입의 정체성을 유지하며 밀짚모자도명확하다.
